,TC_NAME,Request Data,Response Data
169,007_VTC_startTransaction_TC24_파라미터size_파라미터type_필수파라미터누락_필수파라미터누락,"[2, 'cc463bf2-af27-4260-9f50-38a29263f1f1', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": 1010010179456360}']","[4, 'cc463bf2-af27-4260-9f50-38a29263f1f1', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
170,007_VTC_startTransaction_TC25_파라미터size_띄어쓰기_필수파라미터누락_파라미터size,"[2, '3a3eaf66-072b-4d43-9fe4-2fea4764c5b6', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101 9456363"",    ""timestamp"": ""2022-08-24T13:50:09Z11111""}']","[4, '3a3eaf66-072b-4d43-9fe4-2fea4764c5b6', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
171,007_VTC_startTransaction_TC26_파라미터size_필수파라미터null_필수파라미터누락_특수문자,"[2, 'c957296c-d3e4-4b90-a8ab-e06ff7387eb0', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": """",    ""timestamp"": ""2022-08-2#T13:50:09Z""}']","[4, 'c957296c-d3e4-4b90-a8ab-e06ff7387eb0', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
172,007_VTC_startTransaction_TC27_파라미터size_띄어쓰기_필수파라미터누락_파라미터type,"[2, 'c4a73f90-a8e4-41ec-8490-7ee981537d7a', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101 9456363"",    ""timestamp"": 2022-08-24T13: 50: 09Z}']","[4, 'c4a73f90-a8e4-41ec-8490-7ee981537d7a', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
173,007_VTC_startTransaction_TC28_파라미터size_파라미터type_필수파라미터누락_파라미터type,"[2, '152d3082-dbbd-42f3-9b92-380bb6f741c2', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": 1010010179456360,    ""timestamp"": 2022-08-24T13: 50: 09Z}']","[4, '152d3082-dbbd-42f3-9b92-380bb6f741c2', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
174,007_VTC_startTransaction_TC29_파라미터size_파라미터size_필수파라미터누락_파라미터type,"[2, '42f61c39-97c6-41f2-8381-db17f81f1441', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""timestamp"": 2022-08-24T13: 50: 09Z}']","[4, '42f61c39-97c6-41f2-8381-db17f81f1441', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
175,007_VTC_startTransaction_TC30_파라미터size_특수문자_필수파라미터누락_필수파라미터누락,"[2, '2957adb5-7a9d-4098-ad82-80fc86f50529', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""idTag"": ""10100101#9456363""}']","[4, '2957adb5-7a9d-4098-ad82-80fc86f50529', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
176,007_VTC_startTransaction_TC31_파라미터size_필수파라미터누락_필수파라미터누락_파라미터type,"[2, 'f82c57ef-4f84-4541-874e-e38cf178e0ad', 'startTransaction', '{    ""connectorId"": 1111111111111,    ""timestamp"": 2022-08-24T13: 50: 09Z}']","[4, 'f82c57ef-4f84-4541-874e-e38cf178e0ad', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
177,007_VTC_startTransaction_TC32_파라미터type_필수파라미터null_파라미터size_필수파라미터누락,"[2, '5b1edee3-eaf0-46f4-9a68-ff57d68bc540', 'startTransaction', '{    ""connectorId"": ""1"",    ""idTag"": """",    ""meterStart"": 24062111111111100}']","[4, '5b1edee3-eaf0-46f4-9a68-ff57d68bc540', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
178,007_VTC_startTransaction_TC33_파라미터type_파라미터size_파라미터type_필수파라미터null,"[2, '16787eae-a958-467f-9bd6-1a71d5d00ce0', 'startTransaction', '{    ""connectorId"": ""1"",    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""meterStart"": ""24062"",    ""timestamp"": """"}']","[4, '16787eae-a958-467f-9bd6-1a71d5d00ce0', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
179,007_VTC_startTransaction_TC34_파라미터type_파라미터type_필수파라미터누락_파라미터size,"[2, '5af49428-1068-43dc-b388-fc8724dfb387', 'startTransaction', '{    ""connectorId"": ""1"",    ""idTag"": 1010010179456360,    ""timestamp"": ""2022-08-24T13:50:09Z11111""}']","[4, '5af49428-1068-43dc-b388-fc8724dfb387', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
180,007_VTC_startTransaction_TC35_파라미터type_띄어쓰기_필수파라미터누락_특수문자,"[2, 'a0fd070e-2b3f-40dd-b053-da76875b2898', 'startTransaction', '{    ""connectorId"": ""1"",    ""idTag"": ""10100101 9456363"",    ""timestamp"": ""2022-08-2#T13:50:09Z""}']","[4, 'a0fd070e-2b3f-40dd-b053-da76875b2898', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
